track_uri,track,artist,artist_popularity,followers,artist_genre,track_popularity,album,playlist,danceability,valence,energy,tempo,loudness,speechiness,instrumentalness,liveness,acousticness,key
4TF240Qq2I1cr2Ysvfps4d,Broken Record,GSoul,54,201628,"['chill r&b', 'k-pop', 'korean r&b']",54,Hate Everything,r&b,0.703,0.851,0.599,104.048,-7.127,0.101,0,0.428,0.2,6
3cF6uekOdMpiyBauNJAqFJ,FALLING,Che Ecru,53,162358,"['indie r&b', 'r&b', 'trap soul']",51,PREJECTION,r&b,0.712,0.387,0.169,100.051,-11.818,0.0801,0,0.229,0.672,11
6T6D9CIrHkALcHPafDFA6L,Vibez,ZAYN,77,21759834,"['dance pop', 'pop', 'post-teen pop', 'uk pop']",65,Nobody Is Listening,r&b,0.643,0.297,0.671,96.924,-7.45,0.0842,0.0178,0.12,0.241,7
0X2bh8NVQ8svDQIn2AdCbW,Consume (feat. Goon Des Garcons),Chase Atlantic,80,4269968,['pop'],80,Chase Atlantic,r&b,0.556,0.434,0.714,146.113,-5.322,0.158,0,0.261,0.07,9
245onUPHGD1DYuiacxTuW0,KAZINO,BIBI,72,694933,"['k-pop', 'korean r&b']",68,KAZINO,r&b,0.625,0.263,0.686,133.041,-3.715,0.0414,0,0.11,0.139,6
08SB2OtZkaliju77WYEKxk,No Love (with SZA),Summer Walker,80,4486912,"['pop', 'r&b', 'rap']",79,Still Over It,r&b,0.707,0.517,0.618,133.876,-5.825,0.19,0,0.293,0.17,1
5dXWFMwD7I7zXsInONVl0H,I Hate U,SZA,95,9794006,"['pop', 'r&b']",79,I Hate U,r&b,0.535,0.412,0.388,106.703,-9.805,0.155,0,0.11,0.507,7
5q3LwAHTqo9d3rET2EA9Nq,The Weekend,88rising,70,870947,"['asian american hip hop', 'pop']",71,The Weekend,r&b,0.784,0.817,0.521,101.491,-5.701,0.0322,4.75E-06,0.0995,0.062,1
0iWFz0Q5Qha9bx325ocFWq,Best Lover,88rising,70,870947,"['asian american hip hop', 'pop']",67,Head In The Clouds Forever,r&b,0.74,0.519,0.663,82.004,-5.393,0.272,0,0.121,0.268,7
3YJJjQPAbDT7mGpX3WtQ9A,Good Days,SZA,95,9794006,"['pop', 'r&b']",83,Good Days,r&b,0.436,0.412,0.655,121.002,-8.37,0.0583,8.10E-06,0.688,0.499,1
3GCdLUSnKSMJhs4Tj6CV3s,All The Stars (with SZA),Kendrick Lamar,89,22506959,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",86,Black Panther The Album Music From And Inspired By,r&b,0.698,0.552,0.633,96.924,-4.946,0.0597,0.000194,0.0926,0.0605,8
2LBqCSwhJGcFQeTHMVGwy3,Die For You,The Weeknd,96,55798489,"['canadian contemporary r&b', 'canadian pop', 'pop']",89,Starboy,r&b,0.586,0.508,0.525,133.629,-7.163,0.0615,0,0.134,0.111,1
5pXui9rkf5W90DgZobuDiK,The Walls,Chase Atlantic,80,4269968,['pop'],65,Chase Atlantic,r&b,0.357,0.225,0.704,144.172,-6.925,0.0828,1.54E-06,0.124,0.326,0
5SMCxRA6hB2jEhroaYfw6N,IT'S YOU (feat. keshi),MAX,70,789775,"['dance pop', 'pop', 'post-teen pop', 'viral pop']",76,IT'S YOU (feat. keshi),r&b,0.697,0.451,0.368,90.011,-9.708,0.056,0.00016,0.135,0.835,2
6sI8Q7TTJeA9exw6hxEqq3,Blueberry Eyes (feat. SUGA of BTS),MAX,70,789775,"['dance pop', 'pop', 'post-teen pop', 'viral pop']",65,Colour Vision,r&b,0.746,0.411,0.611,149.967,-7.034,0.101,0.000922,0.133,0.454,0
7B3z0ySL9Rr0XvZEAjWZzM,Sofia,Clairo,76,3668902,"['bedroom pop', 'indie pop', 'pop']",81,Immunity,r&b,0.744,0.641,0.619,112.997,-9.805,0.039,0.00372,0.231,0.598,0
4ZaRg5Sf4TKr0YcFRLh7QJ,Love Affair,UMI,64,780265,"['alternative r&b', 'bedroom soul', 'chill r&b', 'indie r&b', 'pop', 'r&b']",69,Love Language,r&b,0.613,0.183,0.488,172.076,-7.37,0.0964,2.13E-05,0.335,0.129,8
630Ug0XtmhhFvAKo0PNuEI,Remember Me,UMI,64,780265,"['alternative r&b', 'bedroom soul', 'chill r&b', 'indie r&b', 'pop', 'r&b']",67,Remember Me,r&b,0.84,0.526,0.344,111.994,-8.613,0.0374,3.36E-05,0.35,0.456,5
5HYSOEDwblGTVSh88TZnet,Midnight Blues,UMI,64,780265,"['alternative r&b', 'bedroom soul', 'chill r&b', 'indie r&b', 'pop', 'r&b']",57,Interlude,r&b,0.763,0.347,0.494,88.011,-6.857,0.0487,0.00173,0.173,0.965,11
4qkVALwOxCIEZ7I5gkZ3m4,Butterfly,UMI,64,780265,"['alternative r&b', 'bedroom soul', 'chill r&b', 'indie r&b', 'pop', 'r&b']",62,Butterfly,r&b,0.785,0.12,0.27,131.894,-14.457,0.0892,0.00132,0.0953,0.255,5
6dgUya35uo964z7GZXM07g,Nonsense,Sabrina Carpenter,78,4841301,"['dance pop', 'pop', 'post-teen pop']",84,emails i can't send,r&b,0.74,0.732,0.697,138.992,-4.912,0.034,0,0.224,0.0268,8
2OVyx2OHlx5SKuJzVLL0nx,Like We Used To,Justin Park,51,72806,['chill r&b'],43,Places Like Home,r&b,0.621,0.548,0.75,95.059,-6.221,0.101,1.91E-05,0.145,0.0446,0
41P6Tnd8KIHqON0QIydx6a,the perfect pair,beabadoobee,75,1494759,"['bedroom pop', 'bubblegrunge', 'indie pop']",79,Beatopia,r&b,0.634,0.6,0.663,146.053,-6.818,0.0331,0.124,0.102,0.433,11
5UXJzLFdBn6u9FJTCnoHrH,Memories,Conan Gray,82,7299580,"['bedroom pop', 'pop']",82,Superache,r&b,0.34,0.556,0.684,112.969,-6.306,0.044,0,0.348,0.00979,11
1fDFHXcykq4iw8Gg7s5hG9,About You,The 1975,81,6169449,"['modern alternative rock', 'modern rock', 'pop', 'rock']",85,Being Funny In A Foreign Language,r&b,0.416,0.461,0.762,95.967,-7.385,0.0279,0.804,0.0559,0.312,2
